"status" "family" "pval" "qval" "gene_short_name" "num_cells_expressed"
"ENSMUSG00000002012" "OK" "tobit" 0.0249067008084001 0.0421269029786726 "Pnck" 120
"ENSMUSG00000002014" "OK" "tobit" 1.21439781897135e-52 2.86858501202622e-51 "Ssr4" 447
"ENSMUSG00000002015" "OK" "tobit" 8.66008626635914e-18 6.21377851162482e-17 "Bcap31" 447
"ENSMUSG00000002017" "OK" "tobit" 0.471561293806815 0.541937951489833 "Fam98a" 402
"ENSMUSG00000002028" "OK" "tobit" 1.993135217886e-10 8.80468038001478e-10 "Kmt2a" 223
"ENSMUSG00000002031" "OK" "tobit" 0.000886395694138555 0.00197405813574485 "Ift46" 399
"ENSMUSG00000002032" "OK" "tobit" 0.118531610575087 0.168571200324373 "Tmem25" 199
"ENSMUSG00000002043" "OK" "tobit" 3.23495159190046e-10 1.40322886512376e-09 "Trappc6a" 437
"ENSMUSG00000002052" "OK" "tobit" 3.70032163101751e-09 1.48181146669094e-08 "Supt6" 417
"ENSMUSG00000002055" "OK" "tobit" 0.0347112076866821 0.0568947923302908 "Spag5" 206
"ENSMUSG00000002058" "OK" "tobit" 0.0127793980232383 0.023001755469944 "Unc119" 163
"ENSMUSG00000002059" "OK" "tobit" 9.03498545912585e-33 1.21876186831613e-31 "Rab34" 442
"ENSMUSG00000002064" "OK" "tobit" 0.00071206354225676 0.00160932655707538 "Sdf2" 444
"ENSMUSG00000002068" "OK" "tobit" 0.0159460170917836 0.0281923447746536 "Ccne1" 364
"ENSMUSG00000002076" "OK" "tobit" 0.131722362308808 0.184973814352318 "Hsf2bp" 70
"ENSMUSG00000002083" "OK" "tobit" 0.00135019721919583 0.00291879786200954 "Bbc3" 265
"ENSMUSG00000002102" "OK" "tobit" 4.18095339749205e-42 7.50488237262162e-41 "Psmc3" 447
"ENSMUSG00000002103" "OK" "tobit" 0.0549812585332185 0.0855204070413654 "Acp2" 400
